TARGET_BAD_FLAG,TARGET_LOSS_AMT,LOAN,IMP_MORTDUE,M_MORTDUE,IMP_VALUE,M_VALUE,IMP_YOJ,M_YOJ,IMP_DEROG,M_DEROG,IMP_DELINQ,M_DELINQ,IMP_CLAGE,M_CLAGE,IMP_NINQ,M_NINQ,IMP_CLNO,M_CLNO,IMP_DEBTINC,M_DEBTINC,FLAG.Job.Mgr,FLAG.Job.Office,FLAG.Job.Other,FLAG.Job.ProfExe,FLAG.Job.Sales,FLAG.Job.Self,FLAG.Reason.DebtCon,FLAG.Reason.HomeImp
0,0,32354.67,79659,0,157448,0,20.9,0,0,0,1,0,95.9,0,0,0,21,1,29.5,0,1,0,0,0,0,0,0,1
0,0,32073.44,73000,1,33138,0,21.0,0,0,0,0,0,69.3,0,0,0,8,0,33.0,1,1,0,0,0,0,0,0,1
0,0,6905.82,92181,0,35279,0,15.5,0,0,0,0,0,123.1,0,3,0,31,0,48.63,0,0,0,0,0,0,1,0,1
0,0,8498.3,74118,0,158496,0,7.3,0,1,0,0,0,251.8,0,1,0,26,0,47.66,0,0,1,0,0,0,0,0,1
1,7720.25,38257.23,73000,1,159386,0,4.3,0,1,0,0,0,288.1,0,1,1,27,0,33.0,1,0,0,0,0,0,1,1,0
1,13755.47,22463.75,112599,0,13268,0,18.0,0,1,0,3,0,210.8,0,1,0,17,0,33.0,1,1,0,0,0,0,0,0,1
0,0,8266.15,56231,0,126855,0,4.8,0,0,0,0,0,114.6,0,0,0,13,0,32.83,0,0,0,0,0,0,1,0,1
0,0,29025.33,109130,0,104606,0,12.4,0,1,0,0,0,213.3,0,3,0,21,1,26.52,0,0,0,1,0,0,0,0,1
0,0,23342.22,102073,0,80010,0,13.0,0,1,0,2,0,196.2,0,0,0,16,0,37.18,0,0,0,0,1,0,0,0,1
0,0,22420.15,24156,0,111186,0,9.2,0,0,1,0,1,223.5,0,3,0,26,0,37.2,0,1,0,0,0,0,0,1,0
0,0,20064.29,101840,0,86658,0,9.8,0,0,0,0,0,180.0,1,1,0,30,0,36.72,0,1,0,0,0,0,0,1,0
0,0,19410.78,67181,0,128582,0,6.7,0,0,0,0,0,240.3,0,5,0,16,0,51.48,0,0,1,0,0,0,0,1,0
0,0,30491.0,158279,0,31218,0,11.6,0,0,0,2,0,180.0,1,0,0,3,0,20.59,0,1,0,0,0,0,0,1,0
0,0,18411.2,34818,0,20456,0,0.9,0,1,0,2,0,387.9,0,0,0,15,0,34.34,0,0,0,0,0,1,0,1,0
0,0,11731.0,154495,0,39475,0,2.8,0,0,0,0,0,103.9,0,3,0,19,0,37.85,0,0,1,0,0,0,0,0,1
0,0,6629.72,59589,0,104570,0,2.2,0,0,0,1,0,224.3,0,1,0,18,0,36.01,0,0,0,0,0,1,0,1,0
0,0,34909.48,76824,0,108624,0,8.7,0,3,0,3,0,134.4,0,0,0,23,0,25.27,0,0,0,1,0,0,0,0,1
0,0,20393.81,164880,0,174727,0,14.8,0,0,0,1,0,227.0,0,0,0,16,0,21.97,0,0,0,0,0,0,1,0,1
0,0,33042.09,124893,0,68115,0,2.7,0,1,0,2,0,62.4,0,1,1,35,0,17.17,0,0,0,0,1,0,0,1,0
0,0,10025.9,71559,0,95121,0,1.3,0,0,0,0,0,180.0,1,0,0,21,1,37.63,0,0,1,0,0,0,0,1,0
0,0,21451.03,17762,0,75946,0,5.4,0,2,0,2,0,156.6,0,1,1,21,1,32.39,0,0,0,0,1,0,0,0,1
1,6431.93,1368.56,95325,0,147640,0,3.7,0,0,0,1,0,195.5,0,1,1,21,0,33.0,1,0,0,1,0,0,0,1,0
0,0,23894.41,73895,0,29934,0,11.7,0,1,0,1,0,133.8,0,4,0,20,0,41.09,0,0,0,1,0,0,0,0,1
0,0,13728.69,87195,0,111304,0,1.5,0,0,0,1,0,189.9,0,1,1,20,0,33.0,1,0,0,0,1,0,0,0,1
0,0,4569.3,113632,0,83878,0,15.3,0,1,0,1,0,202.3,0,1,1,2,0,35.34,0,0,1,0,0,0,0,1,0
0,0,7610.57,9816,0,98083,0,12.9,0,0,0,2,0,161.9,0,0,0,22,0,33.7,0,0,0,0,1,0,0,0,1
0,0,17794.03,98874,0,42549,0,0.4,0,0,0,0,0,224.5,0,4,0,17,0,34.7,0,0,1,0,0,0,0,1,0
0,0,22453.87,35842,0,32399,0,11.6,0,0,0,0,0,59.6,0,1,0,17,0,19.22,0,0,0,0,1,0,0,0,1
0,0,37016.33,73000,1,66779,0,5.2,0,0,0,1,0,220.7,0,0,0,13,0,40.03,0,1,0,0,0,0,0,1,0
1,5199.36,9658.04,65567,0,36857,0,5.2,0,0,0,1,0,277.6,0,1,0,37,0,40.75,0,0,0,0,0,1,0,0,1
0,0,4807.3,131417,0,84962,0,9.8,0,0,1,1,0,306.3,0,0,0,16,0,40.37,0,0,0,0,0,0,1,1,0
1,4888.31,26635.01,21168,0,145889,0,8.4,0,0,0,0,0,34.8,0,0,0,19,0,28.57,0,0,0,1,0,0,0,0,1
0,0,23893.18,28379,0,172022,0,7.4,0,0,1,1,0,211.7,0,0,0,10,0,29.18,0,0,0,0,0,0,1,1,0
0,0,20096.04,90114,0,81548,0,16.0,0,1,0,0,0,80.7,0,1,0,27,0,33.0,1,0,1,0,0,0,0,0,1
1,2296.19,9768.89,56235,0,177093,0,0.6,0,0,0,0,0,110.3,0,1,0,10,0,31.98,0,1,0,0,0,0,0,0,1
0,0,34625.79,141426,0,147830,0,11.9,0,2,0,0,0,122.6,0,2,0,4,0,29.01,0,0,0,1,0,0,0,0,1
0,0,38143.5,59113,0,167946,0,1.4,0,0,0,1,0,166.4,0,0,0,21,0,33.0,1,0,0,0,0,0,1,0,1
0,0,15631.72,136306,0,137580,0,9.0,0,0,0,0,0,188.4,0,5,0,36,0,41.39,0,0,0,0,1,0,0,1,0
0,0,13591.74,15356,0,78237,0,7.9,0,0,1,0,0,188.0,0,1,0,0,0,39.69,0,0,1,0,0,0,0,0,1
1,10258.42,37376.3,64231,0,165868,0,12.5,0,0,0,0,0,121.0,0,3,0,21,0,32.53,0,1,0,0,0,0,0,0,1
0,0,19630.31,75282,0,120297,0,5.0,0,1,0,1,0,93.6,0,0,0,16,0,36.06,0,0,0,0,0,1,0,0,1
0,0,4380.83,137656,0,101923,0,0.3,0,0,0,0,1,71.3,0,0,0,14,0,18.55,0,0,0,0,0,1,0,1,0
0,0,12526.14,153479,0,133319,0,15.3,0,1,0,3,0,145.0,0,3,0,11,0,34.59,0,1,0,0,0,0,0,1,0
1,2280.85,9413.97,0,0,143998,0,6.8,0,0,0,0,0,132.4,0,1,1,45,0,22.68,0,0,0,0,0,0,1,1,0
0,0,18061.96,37911,0,103404,0,14.2,0,0,0,0,0,186.1,0,1,1,12,0,33.17,0,0,0,1,0,0,0,1,0
0,0,30241.28,118514,0,48796,0,5.2,0,1,0,2,0,161.3,0,4,0,28,0,35.48,0,1,0,0,0,0,0,1,0
0,0,1100.17,0,0,114766,0,9.2,0,0,1,3,0,152.2,0,0,0,29,0,29.46,0,1,0,0,0,0,0,1,0
1,7083.16,32369.18,73000,1,87985,0,6.3,0,2,0,1,0,182.8,0,0,0,13,0,33.75,0,0,1,0,0,0,0,1,0
1,18464.59,16991.41,76934,0,142266,0,9.4,0,0,0,0,0,140.6,0,1,0,21,0,48.04,0,0,0,0,0,1,0,0,1
0,0,15527.19,89635,0,97982,0,10.2,0,0,0,1,0,166.1,0,2,0,6,0,33.0,1,0,0,0,0,1,0,1,0
1,6559.22,7410.62,88611,0,54586,0,13.8,0,0,1,1,0,117.8,0,1,1,26,0,26.88,0,0,0,0,0,0,1,0,1
0,0,39636.39,73000,1,60273,0,13.3,0,0,0,0,1,297.0,0,0,0,11,0,41.12,0,0,0,1,0,0,0,1,0
1,15487.69,3514.41,108427,0,72988,0,9.0,1,0,0,1,0,276.6,0,4,0,24,0,35.49,0,1,0,0,0,0,0,1,0
0,0,20456.77,73000,1,66481,0,0.2,0,1,0,0,1,176.0,0,1,0,10,0,26.54,0,1,0,0,0,0,0,0,1
0,0,2142.83,58873,0,85194,0,21.5,0,0,0,0,0,185.8,0,3,0,23,0,13.63,0,0,0,0,1,0,0,0,1
0,0,39670.13,86554,0,130337,0,3.1,0,1,0,0,0,160.6,0,3,0,0,0,35.64,0,1,0,0,0,0,0,0,1
1,9961.46,36797.95,76214,0,149781,0,17.1,0,0,0,1,0,205.1,0,0,0,4,0,33.0,1,0,1,0,0,0,0,0,1
0,0,38465.82,93531,0,155313,0,25.4,0,0,0,0,0,134.6,0,4,0,44,0,26.83,0,0,0,0,0,1,0,1,0
1,19928.83,13410.46,92861,0,43306,0,9.0,1,0,0,0,0,289.5,0,0,0,21,1,36.08,0,1,0,0,0,0,0,1,0
1,14355.94,18090.59,51882,0,114129,0,5.0,0,1,0,0,0,112.5,0,1,1,19,0,38.79,0,0,1,0,0,0,0,1,0
0,0,36026.84,117779,0,134365,0,25.4,0,1,0,1,0,212.8,0,0,0,6,0,33.0,1,0,0,0,0,1,0,0,1
1,15333.76,15072.33,101884,0,82688,0,18.9,0,1,0,0,1,220.6,0,0,0,19,0,33.0,1,0,0,0,1,0,0,1,0
0,0,19137.26,47687,0,99132,0,11.5,0,1,0,1,0,88.8,0,0,0,10,0,37.85,0,0,1,0,0,0,0,0,1
0,0,16397.37,79462,0,91498,0,9.0,0,0,0,0,0,245.3,0,1,1,24,0,33.0,1,0,0,0,0,1,0,0,1
0,0,29357.02,144017,0,150007,0,13.6,0,0,1,0,0,53.6,0,0,0,9,0,33.0,1,1,0,0,0,0,0,1,0
0,0,34831.54,132846,0,37884,0,1.9,0,0,0,0,0,93.1,0,1,1,10,0,32.1,0,0,0,1,0,0,0,0,1
0,0,20173.15,111350,0,174981,0,17.2,0,0,0,1,0,146.5,0,0,0,20,0,19.52,0,0,0,0,0,1,0,1,0
1,6945.31,28673.21,15785,0,145705,0,15.6,0,0,1,1,0,185.6,0,0,0,29,0,30.5,0,0,0,0,1,0,0,1,0
0,0,19508.71,38148,0,87896,0,9.0,1,0,1,1,0,62.5,0,1,0,28,0,46.79,0,0,0,0,1,0,0,1,0
0,0,24444.54,73000,1,99778,0,21.7,0,0,0,0,0,178.8,0,3,0,17,0,35.24,0,0,0,1,0,0,0,0,1
0,0,5216.08,182902,0,153435,0,8.2,0,2,0,1,0,297.1,0,2,0,8,0,30.9,0,0,0,1,0,0,0,0,1
0,0,29732.55,15560,0,183757,0,8.6,0,0,0,0,0,134.7,0,2,0,13,0,30.61,0,0,0,0,0,0,1,1,0
0,0,36084.06,56976,0,74675,0,3.8,0,1,0,0,1,189.6,0,0,0,14,0,41.82,0,0,0,0,1,0,0,1,0
0,0,6880.36,114324,0,27945,0,26.3,0,1,0,0,1,56.1,0,1,1,14,0,34.63,0,0,1,0,0,0,0,0,1
0,0,31410.35,102317,0,135860,0,8.3,0,0,0,2,0,124.7,0,1,0,21,0,33.0,1,0,0,0,0,1,0,0,1
1,10200.06,33129.91,48842,0,82580,0,19.9,0,2,0,0,0,145.2,0,2,0,15,0,33.0,1,0,1,0,0,0,0,1,0
0,0,26371.07,73000,1,125695,0,9.0,1,1,0,0,1,147.4,0,0,0,15,0,33.74,0,0,0,1,0,0,0,0,1
0,0,26836.84,66169,0,161905,0,17.8,0,0,1,1,0,215.0,0,0,0,20,0,33.0,1,0,0,0,1,0,0,0,1
0,0,1497.23,73000,1,146204,0,14.8,0,0,0,0,0,122.1,0,0,0,38,0,37.54,0,0,0,1,0,0,0,0,1
0,0,5520.14,73000,1,24900,0,5.2,0,0,0,0,0,317.2,0,2,0,28,0,29.64,0,0,1,0,0,0,0,1,0
1,8978.5,29330.03,30588,0,112765,0,6.3,0,0,0,0,0,50.4,0,0,0,30,0,27.22,0,0,0,0,0,0,1,0,1
1,10303.24,34864.96,78269,0,98109,0,2.2,0,1,0,0,0,55.1,0,2,0,17,0,29.48,0,0,1,0,0,0,0,0,1
0,0,34907.21,73000,1,67636,0,9.0,1,0,0,2,0,32.2,0,2,0,16,0,34.31,0,1,0,0,0,0,0,0,1
0,0,22728.11,90463,0,101021,0,6.2,0,1,0,0,1,155.2,0,0,0,25,0,33.0,1,0,0,0,0,0,1,1,0
1,5702.13,14850.42,20033,0,118487,0,0.6,0,1,0,0,0,125.2,0,2,0,25,0,33.0,1,1,0,0,0,0,0,1,0
0,0,18569.68,130285,0,124289,0,8.0,0,2,0,1,0,11.3,0,1,0,20,0,28.84,0,0,0,1,0,0,0,0,1
0,0,24750.75,62322,0,69199,0,5.5,0,2,0,1,0,113.3,0,0,0,36,0,36.17,0,0,0,0,0,0,1,1,0
0,0,26353.37,134306,0,31739,0,8.7,0,0,0,1,0,57.4,0,3,0,31,0,33.0,1,0,1,0,0,0,0,1,0
0,0,8796.19,73028,0,74342,0,14.7,0,0,0,2,0,211.4,0,1,0,1,0,34.09,0,0,0,1,0,0,0,1,0
0,0,16114.63,142848,0,139518,0,9.0,1,0,0,2,0,270.2,0,0,0,21,0,22.94,0,0,1,0,0,0,0,0,1
0,0,39354.68,164477,0,153004,0,14.5,0,0,0,0,0,172.6,0,5,0,27,0,22.14,0,0,0,0,0,1,0,0,1
1,9248.46,28599.58,18434,0,153588,0,6.7,0,0,0,0,0,140.5,0,0,0,13,0,26.86,0,0,0,1,0,0,0,0,1
0,0,26048.31,57076,0,101498,0,11.0,0,0,0,0,0,281.3,0,2,0,9,0,32.49,0,0,0,1,0,0,0,1,0
0,0,7528.4,73000,1,85830,0,3.2,0,0,0,1,0,244.2,0,2,0,7,0,38.04,0,1,0,0,0,0,0,1,0
1,19290.02,31974.38,109487,0,72177,0,6.7,0,0,1,0,0,61.2,0,1,0,8,0,26.63,0,0,0,1,0,0,0,1,0
0,0,37140.94,116504,0,105930,0,7.4,0,0,0,0,0,132.4,0,0,0,31,0,33.0,1,0,0,0,0,1,0,1,0
1,1620.0,1196.16,32228,0,69125,0,8.8,0,0,0,0,0,99.1,0,2,0,15,0,42.36,0,0,0,0,0,1,0,0,1
0,0,3852.64,58643,0,70868,0,15.3,0,0,0,0,0,211.6,0,0,0,34,0,19.74,0,0,1,0,0,0,0,1,0
0,0,31640.74,43375,0,78061,0,4.6,0,0,0,1,0,139.3,0,1,1,17,0,33.0,1,0,0,0,0,0,1,1,0
0,0,35792.1,106109,0,49452,0,9.0,1,0,0,1,0,114.6,0,0,0,34,0,33.0,1,0,0,1,0,0,0,1,0
0,0,34071.29,108165,0,80564,0,6.2,0,1,0,3,0,171.4,0,0,0,17,0,33.0,1,0,1,0,0,0,0,0,1
0,0,36798.18,81397,0,92300,0,18.7,0,0,0,0,0,127.6,0,1,1,10,0,38.6,0,0,0,1,0,0,0,0,1
0,0,35599.71,73000,1,136741,0,3.9,0,0,0,1,0,231.1,0,0,0,32,0,40.84,0,0,0,0,0,0,1,0,1
1,16911.81,2682.63,51771,0,89116,0,6.9,0,0,0,2,0,180.0,1,1,0,7,0,9.15,0,0,1,0,0,0,0,1,0
0,0,24432.71,93510,0,20858,0,8.0,0,2,0,0,0,146.9,0,2,0,40,0,35.12,0,0,0,0,0,1,0,1,0
0,0,21725.77,87534,0,156043,0,14.7,0,2,0,0,0,27.8,0,3,0,32,0,29.54,0,0,0,0,0,0,1,1,0
0,0,10926.2,73000,1,2717,0,9.0,1,0,0,2,0,184.6,0,2,0,38,0,23.51,0,0,0,0,0,1,0,0,1
0,0,24863.35,96778,0,76717,0,11.8,0,1,0,2,0,50.5,0,0,0,24,0,29.96,0,0,1,0,0,0,0,1,0
0,0,16621.88,46313,0,149351,0,9.0,1,0,1,2,0,333.5,0,1,1,25,0,43.99,0,0,0,0,0,0,1,1,0
0,0,32988.92,67616,0,72988,0,10.8,0,0,0,1,0,180.0,1,2,0,27,0,33.01,0,0,0,1,0,0,0,0,1
0,0,8812.1,135092,0,107765,0,7.7,0,0,0,1,0,124.2,0,1,0,22,0,24.17,0,1,0,0,0,0,0,0,1
0,0,32712.75,55962,0,60791,0,8.1,0,0,0,0,0,162.9,0,1,1,0,0,13.89,0,0,0,1,0,0,0,0,1
0,0,21143.66,148434,0,106191,0,9.0,1,0,0,0,0,191.7,0,4,0,16,0,37.06,0,0,1,0,0,0,0,1,0
0,0,10738.12,134994,0,112904,0,11.8,0,0,0,0,0,274.1,0,2,0,42,0,31.43,0,0,0,0,0,1,0,0,1
